tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,CD4_T,immune_evasion,IA→AR,IA,AR,0.1009,0.091158,-9.7,↓,0.571429,NS,10/15,5,3,0.9114282400000001
Liver,CD4_T,immune_evasion,CR→AR,CR,AR,0.087036,0.091158,4.7,↑,1.0,NS,5/9,3,3,1.0
Liver,CD8_T,immune_evasion,NL→IT,NL,IT,0.110926,0.107998,-2.6,↓,0.818182,NS,20/36,6,6,0.8787880740740741
Liver,CD8_T,immune_evasion,NL→IA,NL,IA,0.110926,0.098602,-11.1,↓,0.792208,NS,17/30,6,5,0.9988709565217391
Liver,CD8_T,immune_evasion,NL→AR,NL,AR,0.110926,0.088991,-19.8,↓,0.380952,NS,13/18,6,3,0.5260765714285714
Liver,CD8_T,immune_evasion,NL→CR,NL,CR,0.110926,0.085341,-23.1,↓,0.261905,NS,14/18,6,3,0.4747028125
Liver,CD8_T,immune_evasion,IT→IA,IT,IA,0.107998,0.098602,-8.7,↓,0.930736,NS,16/30,6,5,0.9996794074074075
Liver,CD8_T,immune_evasion,IA→AR,IA,AR,0.098602,0.088991,-9.7,↓,0.571429,NS,10/15,5,3,0.8285720499999999
Liver,CD8_T,immune_evasion,CR→AR,CR,AR,0.085341,0.088991,4.3,↑,1.0,NS,5/9,3,3,1.0
Liver,NK,immune_evasion,NL→IT,NL,IT,0.098265,0.096058,-2.2,↓,0.792208,NS,17/30,6,5,0.8508900740740741
Liver,NK,immune_evasion,NL→IA,NL,IA,0.098265,0.089568,-8.9,↓,0.930736,NS,16/30,6,5,0.9996794074074075
Liver,NK,immune_evasion,NL→AR,NL,AR,0.098265,0.078878,-19.7,↓,0.547619,NS,12/18,6,3,1.0
Liver,NK,immune_evasion,NL→CR,NL,CR,0.098265,0.082595,-15.9,↓,0.714286,NS,11/18,6,3,0.9006214782608695
Liver,NK,immune_evasion,IT→IA,IT,IA,0.096058,0.089568,-6.8,↓,1.0,NS,12/25,5,5,1.0
Liver,NK,immune_evasion,IA→AR,IA,AR,0.089568,0.078878,-11.9,↓,0.571429,NS,10/15,5,3,0.9494044166666668
Liver,NK,immune_evasion,CR→AR,CR,AR,0.082595,0.078878,-4.5,↓,0.7,NS,6/9,3,3,1.0
Liver,B,immune_evasion,NL→IT,NL,IT,0.035808,0.051826,44.7,↑,0.662338,NS,18/30,6,5,0.9996794074074075
Liver,B,immune_evasion,NL→IA,NL,IA,0.035808,0.042349,18.3,↑,1.0,NS,15/30,6,5,1.0
Liver,B,immune_evasion,NL→AR,NL,AR,0.035808,0.04902,36.9,↑,0.547619,NS,12/18,6,3,1.0
Liver,B,immune_evasion,NL→CR,NL,CR,0.035808,0.037897,5.8,↑,1.0,NS,9/18,6,3,1.0
Liver,B,immune_evasion,IT→IA,IT,IA,0.051826,0.042349,-18.3,↓,1.0,NS,13/25,5,5,1.0
Liver,B,immune_evasion,IA→AR,IA,AR,0.042349,0.04902,15.8,↑,0.571429,NS,10/15,5,3,0.920635611111111
Liver,B,immune_evasion,CR→AR,CR,AR,0.037897,0.04902,29.3,↑,0.2,NS,8/9,3,3,1.0
Liver,PlasmaB,immune_evasion,NL→IT,NL,IT,0.040394,0.050216,24.3,↑,0.792208,NS,17/30,6,5,0.9189612800000001
Liver,PlasmaB,immune_evasion,NL→IA,NL,IA,0.040394,0.040723,0.8,↑,0.930736,NS,14/30,6,5,0.930736
Liver,PlasmaB,immune_evasion,NL→AR,NL,AR,0.040394,0.038067,-5.8,↓,1.0,NS,6/12,6,2,1.0
Liver,PlasmaB,immune_evasion,NL→CR,NL,CR,0.040394,0.03476,-13.9,↓,0.904762,NS,10/18,6,3,0.9717814074074074
Liver,PlasmaB,immune_evasion,IT→IA,IT,IA,0.050216,0.040723,-18.9,↓,0.547619,NS,16/25,5,5,1.0
Liver,PlasmaB,immune_evasion,IA→AR,IA,AR,0.040723,0.038067,-6.5,↓,0.857143,NS,4/10,5,2,0.9560441153846153
Liver,PlasmaB,immune_evasion,CR→AR,CR,AR,0.03476,0.038067,9.5,↑,1.0,NS,3/6,3,2,1.0
Liver,Myeloid,inflammasome,NL→IT,NL,IT,0.206714,0.24232,17.2,↑,0.329004,NS,21/30,6,5,0.59631975
Liver,Myeloid,inflammasome,NL→IA,NL,IA,0.206714,0.21078,2.0,↑,0.662338,NS,18/30,6,5,0.914657238095238
Liver,Myeloid,inflammasome,NL→AR,NL,AR,0.206714,0.290589,40.6,↑,0.166667,NS,15/18,6,3,0.4027785833333334
Liver,Myeloid,inflammasome,NL→CR,NL,CR,0.206714,0.245614,18.8,↑,0.166667,NS,15/18,6,3,0.8055571666666668
Liver,Myeloid,inflammasome,IT→IA,IT,IA,0.24232,0.21078,-13.0,↓,0.84127,NS,14/25,5,5,0.9383396153846153
Liver,Myeloid,inflammasome,IA→AR,IA,AR,0.21078,0.290589,37.9,↑,0.571429,NS,10/15,5,3,0.8285720499999999
Liver,Myeloid,inflammasome,CR→AR,CR,AR,0.245614,0.290589,18.3,↑,0.1,NS,9/9,3,3,0.58
Liver,CD4_T,inflammasome,NL→IT,NL,IT,0.035937,0.025653,-28.6,↓,0.179654,NS,27/36,6,6,0.6904766153846155
Liver,CD4_T,inflammasome,NL→IA,NL,IA,0.035937,0.038849,8.1,↑,0.930736,NS,16/30,6,5,0.9639765714285714
Liver,CD4_T,inflammasome,NL→AR,NL,AR,0.035937,0.04987,38.8,↑,0.380952,NS,13/18,6,3,0.7562357619047618
Liver,CD4_T,inflammasome,NL→CR,NL,CR,0.035937,0.041172,14.6,↑,1.0,NS,9/18,6,3,1.0
Liver,CD4_T,inflammasome,IT→IA,IT,IA,0.025653,0.038849,51.4,↑,0.428571,NS,20/30,6,5,0.9189612800000001
Liver,CD4_T,inflammasome,IA→AR,IA,AR,0.038849,0.04987,28.4,↑,0.571429,NS,10/15,5,3,0.9114282400000001
Liver,CD4_T,inflammasome,CR→AR,CR,AR,0.041172,0.04987,21.1,↑,0.4,NS,7/9,3,3,1.0
Liver,CD8_T,inflammasome,NL→IT,NL,IT,0.030867,0.031844,3.2,↑,0.937229,NS,19/36,6,6,0.937229
Liver,CD8_T,inflammasome,NL→IA,NL,IA,0.030867,0.042435,37.5,↑,0.329004,NS,21/30,6,5,0.6815082857142857
Liver,CD8_T,inflammasome,NL→AR,NL,AR,0.030867,0.051977,68.4,↑,0.380952,NS,13/18,6,3,0.5260765714285714
Liver,CD8_T,inflammasome,NL→CR,NL,CR,0.030867,0.043298,40.3,↑,0.547619,NS,12/18,6,3,0.7218614090909091
Liver,CD8_T,inflammasome,IT→IA,IT,IA,0.031844,0.042435,33.3,↑,0.125541,NS,24/30,6,5,0.8648396111111111
Liver,CD8_T,inflammasome,IA→AR,IA,AR,0.042435,0.051977,22.5,↑,0.785714,NS,9/15,5,3,0.9494044166666668
Liver,CD8_T,inflammasome,CR→AR,CR,AR,0.043298,0.051977,20.0,↑,0.7,NS,6/9,3,3,1.0
Liver,NK,inflammasome,NL→IT,NL,IT,0.034015,0.032619,-4.1,↓,0.428571,NS,10/30,6,5,0.7767849375
Liver,NK,inflammasome,NL→IA,NL,IA,0.034015,0.041499,22.0,↑,0.662338,NS,18/30,6,5,0.9996794074074075
Liver,NK,inflammasome,NL→AR,NL,AR,0.034015,0.051319,50.9,↑,0.904762,NS,10/18,6,3,1.0
Liver,NK,inflammasome,NL→CR,NL,CR,0.034015,0.041847,23.0,↑,0.714286,NS,11/18,6,3,0.9006214782608695
Liver,NK,inflammasome,IT→IA,IT,IA,0.032619,0.041499,27.2,↑,0.547619,NS,16/25,5,5,0.9925594375
Liver,NK,inflammasome,IA→AR,IA,AR,0.041499,0.051319,23.7,↑,0.571429,NS,10/15,5,3,0.9494044166666668
Liver,NK,inflammasome,CR→AR,CR,AR,0.041847,0.051319,22.6,↑,1.0,NS,5/9,3,3,1.0
Liver,B,inflammasome,NL→IT,NL,IT,0.01683,0.013065,-22.4,↓,0.645055,NS,17/30,6,5,0.9996794074074075
Liver,B,inflammasome,NL→IA,NL,IA,0.01683,0.026577,57.9,↑,0.246753,NS,22/30,6,5,0.8673741818181819
Liver,B,inflammasome,NL→AR,NL,AR,0.01683,0.026683,58.5,↑,0.261905,NS,14/18,6,3,1.0
Liver,B,inflammasome,NL→CR,NL,CR,0.01683,0.029649,76.2,↑,0.547619,NS,12/18,6,3,0.8358395263157895
Liver,B,inflammasome,IT→IA,IT,IA,0.013065,0.026577,103.4,↑,0.142457,NS,20/25,5,5,0.4373026
Liver,B,inflammasome,IA→AR,IA,AR,0.026577,0.026683,0.4,↑,1.0,NS,8/15,5,3,1.0
Liver,B,inflammasome,CR→AR,CR,AR,0.029649,0.026683,-10.0,↓,1.0,NS,5/9,3,3,1.0
Liver,PlasmaB,inflammasome,NL→IT,NL,IT,0.013592,0.040081,194.9,↑,0.119846,NS,24/30,6,5,0.4965048571428571
Liver,PlasmaB,inflammasome,NL→IA,NL,IA,0.013592,0.043093,217.0,↑,0.231045,NS,21/30,6,5,0.7155836999999999
Liver,PlasmaB,inflammasome,NL→AR,NL,AR,0.013592,0.083558,514.7,↑,0.065133,†,12/12,6,2,0.51786025
Liver,PlasmaB,inflammasome,NL→CR,NL,CR,0.013592,0.073917,443.8,↑,0.027532,*,18/18,6,3,0.399214
Liver,PlasmaB,inflammasome,IT→IA,IT,IA,0.040081,0.043093,7.5,↑,0.84127,NS,14/25,5,5,1.0
Liver,PlasmaB,inflammasome,IA→AR,IA,AR,0.043093,0.083558,93.9,↑,0.571429,NS,7/10,5,2,0.8721811052631578
Liver,PlasmaB,inflammasome,CR→AR,CR,AR,0.073917,0.083558,13.0,↑,1.0,NS,3/6,3,2,1.0
Liver,Myeloid,memory_t,NL→IT,NL,IT,0.074496,0.111722,50.0,↑,0.030303,*,27/30,6,5,0.22653557142857142
Liver,Myeloid,memory_t,NL→IA,NL,IA,0.074496,0.074404,-0.1,↓,0.930736,NS,16/30,6,5,0.9639765714285714
Liver,Myeloid,memory_t,NL→AR,NL,AR,0.074496,0.099664,33.8,↑,0.166667,NS,15/18,6,3,0.4027785833333334
Liver,Myeloid,memory_t,NL→CR,NL,CR,0.074496,0.085987,15.4,↑,0.714286,NS,11/18,6,3,1.0
Liver,Myeloid,memory_t,IT→IA,IT,IA,0.111722,0.074404,-33.4,↓,0.095238,†,21/25,5,5,0.5523804
Liver,Myeloid,memory_t,IA→AR,IA,AR,0.074404,0.099664,33.9,↑,0.142857,NS,13/15,5,3,0.725
Liver,Myeloid,memory_t,CR→AR,CR,AR,0.085987,0.099664,15.9,↑,1.0,NS,5/9,3,3,1.0
Liver,CD4_T,memory_t,NL→IT,NL,IT,0.207441,0.241035,16.2,↑,0.24026,NS,26/36,6,6,0.6904766153846155
Liver,CD4_T,memory_t,NL→IA,NL,IA,0.207441,0.230479,11.1,↑,0.792208,NS,17/30,6,5,0.8836166153846154
Liver,CD4_T,memory_t,NL→AR,NL,AR,0.207441,0.219688,5.9,↑,0.547619,NS,12/18,6,3,0.7562357619047618
Liver,CD4_T,memory_t,NL→CR,NL,CR,0.207441,0.235437,13.5,↑,0.547619,NS,12/18,6,3,0.8358395263157895
Liver,CD4_T,memory_t,IT→IA,IT,IA,0.241035,0.230479,-4.4,↓,0.930736,NS,16/30,6,5,0.9996794074074075
Liver,CD4_T,memory_t,IA→AR,IA,AR,0.230479,0.219688,-4.7,↓,0.392857,NS,11/15,5,3,0.9114282400000001
Liver,CD4_T,memory_t,CR→AR,CR,AR,0.235437,0.219688,-6.7,↓,0.7,NS,6/9,3,3,1.0
Liver,CD8_T,memory_t,NL→IT,NL,IT,0.186615,0.216328,15.9,↑,0.093074,†,29/36,6,6,0.4498576666666667
Liver,CD8_T,memory_t,NL→IA,NL,IA,0.186615,0.18815,0.8,↑,1.0,NS,15/30,6,5,1.0
Liver,CD8_T,memory_t,NL→AR,NL,AR,0.186615,0.172798,-7.4,↓,0.714286,NS,11/18,6,3,0.82857176
Liver,CD8_T,memory_t,NL→CR,NL,CR,0.186615,0.190171,1.9,↑,0.714286,NS,11/18,6,3,0.82857176
Liver,CD8_T,memory_t,IT→IA,IT,IA,0.216328,0.18815,-13.0,↓,0.125541,NS,24/30,6,5,0.8648396111111111
Liver,CD8_T,memory_t,IA→AR,IA,AR,0.18815,0.172798,-8.2,↓,0.571429,NS,10/15,5,3,0.8285720499999999
Liver,CD8_T,memory_t,CR→AR,CR,AR,0.190171,0.172798,-9.1,↓,0.4,NS,7/9,3,3,1.0
Liver,NK,memory_t,NL→IT,NL,IT,0.094188,0.112234,19.2,↑,0.177489,NS,23/30,6,5,0.7767849375
Liver,NK,memory_t,NL→IA,NL,IA,0.094188,0.113261,20.3,↑,0.082251,†,25/30,6,5,0.4770558
Liver,NK,memory_t,NL→AR,NL,AR,0.094188,0.117113,24.3,↑,0.095238,†,16/18,6,3,1.0
Liver,NK,memory_t,NL→CR,NL,CR,0.094188,0.12728,35.1,↑,0.02381,*,18/18,6,3,0.69049
Liver,NK,memory_t,IT→IA,IT,IA,0.112234,0.113261,0.9,↑,1.0,NS,13/25,5,5,1.0
Liver,NK,memory_t,IA→AR,IA,AR,0.113261,0.117113,3.4,↑,1.0,NS,8/15,5,3,1.0
Liver,NK,memory_t,CR→AR,CR,AR,0.12728,0.117113,-8.0,↓,0.7,NS,6/9,3,3,1.0
Liver,B,memory_t,NL→IT,NL,IT,0.095618,0.095168,-0.5,↓,0.662338,NS,18/30,6,5,0.9996794074074075
Liver,B,memory_t,NL→IA,NL,IA,0.095618,0.108394,13.4,↑,0.662338,NS,18/30,6,5,0.9603900999999999
Liver,B,memory_t,NL→AR,NL,AR,0.095618,0.115335,20.6,↑,0.714286,NS,11/18,6,3,1.0
Liver,B,memory_t,NL→CR,NL,CR,0.095618,0.119983,25.5,↑,0.714286,NS,11/18,6,3,0.9863949523809523
Liver,B,memory_t,IT→IA,IT,IA,0.095168,0.108394,13.9,↑,0.420635,NS,17/25,5,5,0.7624009374999999
Liver,B,memory_t,IA→AR,IA,AR,0.108394,0.115335,6.4,↑,1.0,NS,7/15,5,3,1.0
Liver,B,memory_t,CR→AR,CR,AR,0.119983,0.115335,-3.9,↓,1.0,NS,5/9,3,3,1.0
Liver,PlasmaB,memory_t,NL→IT,NL,IT,0.055734,0.069152,24.1,↑,0.428571,NS,20/30,6,5,0.7767849375
Liver,PlasmaB,memory_t,NL→IA,NL,IA,0.055734,0.082085,47.3,↑,0.125541,NS,24/30,6,5,0.7155836999999999
Liver,PlasmaB,memory_t,NL→AR,NL,AR,0.055734,0.060177,8.0,↑,0.642857,NS,8/12,6,2,0.7767855416666667
Liver,PlasmaB,memory_t,NL→CR,NL,CR,0.055734,0.070552,26.6,↑,0.547619,NS,12/18,6,3,0.8822750555555555
Liver,PlasmaB,memory_t,IT→IA,IT,IA,0.069152,0.082085,18.7,↑,0.84127,NS,14/25,5,5,1.0
Liver,PlasmaB,memory_t,IA→AR,IA,AR,0.082085,0.060177,-26.7,↓,0.380952,NS,8/10,5,2,0.849816
Liver,PlasmaB,memory_t,CR→AR,CR,AR,0.070552,0.060177,-14.7,↓,1.0,NS,3/6,3,2,1.0
Liver,Myeloid,metabolic_recovery,NL→IT,NL,IT,0.013391,0.007622,-43.1,↓,0.360216,NS,20/30,6,5,0.6144861176470588
Liver,Myeloid,metabolic_recovery,NL→IA,NL,IA,0.013391,0.007499,-44.0,↓,0.454772,NS,18/30,6,5,0.914657238095238
Liver,Myeloid,metabolic_recovery,NL→AR,NL,AR,0.013391,0.027347,104.2,↑,0.547619,NS,12/18,6,3,0.8358395263157895
Liver,Myeloid,metabolic_recovery,NL→CR,NL,CR,0.013391,0.009382,-29.9,↓,0.261905,NS,14/18,6,3,0.8439161111111111
Liver,Myeloid,metabolic_recovery,IT→IA,IT,IA,0.007622,0.007499,-1.6,↓,0.746476,NS,13/25,5,5,0.9383396153846153
Liver,Myeloid,metabolic_recovery,IA→AR,IA,AR,0.007499,0.027347,264.7,↑,0.2217,NS,12/15,5,3,0.725
Liver,Myeloid,metabolic_recovery,CR→AR,CR,AR,0.009382,0.027347,191.5,↑,0.7,NS,6/9,3,3,1.0
Liver,CD4_T,metabolic_recovery,NL→IT,NL,IT,0.024936,0.026073,4.6,↑,0.818182,NS,16/36,6,6,0.9886365833333333
Liver,CD4_T,metabolic_recovery,NL→IA,NL,IA,0.024936,0.021919,-12.1,↓,0.428571,NS,20/30,6,5,0.77835565
Liver,CD4_T,metabolic_recovery,NL→AR,NL,AR,0.024936,0.021222,-14.9,↓,0.547619,NS,12/18,6,3,0.7562357619047618
Liver,CD4_T,metabolic_recovery,NL→CR,NL,CR,0.024936,0.026862,7.7,↑,0.714286,NS,11/18,6,3,0.9863949523809523
Liver,CD4_T,metabolic_recovery,IT→IA,IT,IA,0.026073,0.021919,-15.9,↓,0.329004,NS,21/30,6,5,0.9189612800000001
Liver,CD4_T,metabolic_recovery,IA→AR,IA,AR,0.021919,0.021222,-3.2,↓,0.571429,NS,10/15,5,3,0.9114282400000001
Liver,CD4_T,metabolic_recovery,CR→AR,CR,AR,0.026862,0.021222,-21.0,↓,0.4,NS,7/9,3,3,1.0
Liver,CD8_T,metabolic_recovery,NL→IT,NL,IT,0.022605,0.027714,22.6,↑,0.818182,NS,20/36,6,6,0.8787880740740741
Liver,CD8_T,metabolic_recovery,NL→IA,NL,IA,0.022605,0.023195,2.6,↑,0.930736,NS,16/30,6,5,1.0
Liver,CD8_T,metabolic_recovery,NL→AR,NL,AR,0.022605,0.024668,9.1,↑,0.904762,NS,10/18,6,3,0.9717814074074074
Liver,CD8_T,metabolic_recovery,NL→CR,NL,CR,0.022605,0.029111,28.8,↑,0.261905,NS,14/18,6,3,0.4747028125
Liver,CD8_T,metabolic_recovery,IT→IA,IT,IA,0.027714,0.023195,-16.3,↓,0.930736,NS,16/30,6,5,0.9996794074074075
Liver,CD8_T,metabolic_recovery,IA→AR,IA,AR,0.023195,0.024668,6.4,↑,0.571429,NS,10/15,5,3,0.8285720499999999
Liver,CD8_T,metabolic_recovery,CR→AR,CR,AR,0.029111,0.024668,-15.3,↓,0.4,NS,7/9,3,3,1.0
Liver,NK,metabolic_recovery,NL→IT,NL,IT,0.025789,0.022122,-14.2,↓,0.329004,NS,21/30,6,5,0.7767849375
Liver,NK,metabolic_recovery,NL→IA,NL,IA,0.025789,0.022002,-14.7,↓,0.125541,NS,24/30,6,5,0.6067815000000001
Liver,NK,metabolic_recovery,NL→AR,NL,AR,0.025789,0.026126,1.3,↑,1.0,NS,9/18,6,3,1.0
Liver,NK,metabolic_recovery,NL→CR,NL,CR,0.025789,0.030051,16.5,↑,0.714286,NS,11/18,6,3,0.9006214782608695
Liver,NK,metabolic_recovery,IT→IA,IT,IA,0.022122,0.022002,-0.5,↓,1.0,NS,12/25,5,5,1.0
Liver,NK,metabolic_recovery,IA→AR,IA,AR,0.022002,0.026126,18.7,↑,0.142857,NS,13/15,5,3,0.9494044166666668
Liver,NK,metabolic_recovery,CR→AR,CR,AR,0.030051,0.026126,-13.1,↓,0.7,NS,6/9,3,3,1.0
Liver,B,metabolic_recovery,NL→IT,NL,IT,0.018365,0.051634,181.2,↑,0.119846,NS,24/30,6,5,0.7281378000000001
Liver,B,metabolic_recovery,NL→IA,NL,IA,0.018365,0.025111,36.7,↑,0.647329,NS,18/30,6,5,0.9603900999999999
Liver,B,metabolic_recovery,NL→AR,NL,AR,0.018365,0.0155,-15.6,↓,0.697334,NS,11/18,6,3,1.0
Liver,B,metabolic_recovery,NL→CR,NL,CR,0.018365,0.029018,58.0,↑,0.36415,NS,13/18,6,3,0.7365072
Liver,B,metabolic_recovery,IT→IA,IT,IA,0.051634,0.025111,-51.4,↓,0.095238,†,21/25,5,5,0.4373026
Liver,B,metabolic_recovery,IA→AR,IA,AR,0.025111,0.0155,-38.3,↓,0.035714,*,15/15,5,3,0.6904803333333334
Liver,B,metabolic_recovery,CR→AR,CR,AR,0.029018,0.0155,-46.6,↓,0.4,NS,7/9,3,3,1.0
Liver,PlasmaB,metabolic_recovery,NL→IT,NL,IT,0.016636,0.008274,-50.3,↓,0.407016,NS,19/30,6,5,0.7767849375
Liver,PlasmaB,metabolic_recovery,NL→IA,NL,IA,0.016636,0.015436,-7.2,↓,0.782252,NS,16/30,6,5,0.9189612800000001
Liver,PlasmaB,metabolic_recovery,NL→AR,NL,AR,0.016636,0.00372,-77.6,↓,0.285714,NS,10/12,6,2,0.6904755
Liver,PlasmaB,metabolic_recovery,NL→CR,NL,CR,0.016636,0.005339,-67.9,↓,0.261905,NS,14/18,6,3,0.6904768181818182
Liver,PlasmaB,metabolic_recovery,IT→IA,IT,IA,0.008274,0.015436,86.6,↑,1.0,NS,11/25,5,5,1.0
Liver,PlasmaB,metabolic_recovery,IA→AR,IA,AR,0.015436,0.00372,-75.9,↓,1.0,NS,5/10,5,2,1.0
Liver,PlasmaB,metabolic_recovery,CR→AR,CR,AR,0.005339,0.00372,-30.3,↓,0.8,NS,4/6,3,2,1.0
Liver,Myeloid,mito_dysfunction,NL→IT,NL,IT,0.857273,0.928766,8.3,↑,0.246753,NS,22/30,6,5,0.4770558
Liver,Myeloid,mito_dysfunction,NL→IA,NL,IA,0.857273,0.886168,3.4,↑,0.930736,NS,16/30,6,5,0.9639765714285714
Liver,Myeloid,mito_dysfunction,NL→AR,NL,AR,0.857273,0.950941,10.9,↑,0.095238,†,16/18,6,3,0.39455742857142856
Liver,Myeloid,mito_dysfunction,NL→CR,NL,CR,0.857273,0.929354,8.4,↑,0.261905,NS,14/18,6,3,0.8439161111111111
Liver,Myeloid,mito_dysfunction,IT→IA,IT,IA,0.928766,0.886168,-4.6,↓,0.420635,NS,17/25,5,5,0.871315357142857
Liver,Myeloid,mito_dysfunction,IA→AR,IA,AR,0.886168,0.950941,7.3,↑,0.25,NS,12/15,5,3,0.725
Liver,Myeloid,mito_dysfunction,CR→AR,CR,AR,0.929354,0.950941,2.3,↑,0.1,NS,9/9,3,3,0.58
Liver,CD4_T,mito_dysfunction,NL→IT,NL,IT,0.870234,0.905777,4.1,↑,0.132035,NS,28/36,6,6,0.6381691666666668
Liver,CD4_T,mito_dysfunction,NL→IA,NL,IA,0.870234,0.885046,1.7,↑,0.792208,NS,17/30,6,5,0.8836166153846154
Liver,CD4_T,mito_dysfunction,NL→AR,NL,AR,0.870234,0.911791,4.8,↑,0.047619,*,17/18,6,3,0.46031700000000003
Liver,CD4_T,mito_dysfunction,NL→CR,NL,CR,0.870234,0.900407,3.5,↑,0.380952,NS,13/18,6,3,0.8358395263157895
Liver,CD4_T,mito_dysfunction,IT→IA,IT,IA,0.905777,0.885046,-2.3,↓,0.792208,NS,17/30,6,5,0.9189612800000001
Liver,CD4_T,mito_dysfunction,IA→AR,IA,AR,0.885046,0.911791,3.0,↑,0.785714,NS,9/15,5,3,0.9114282400000001
Liver,CD4_T,mito_dysfunction,CR→AR,CR,AR,0.900407,0.911791,1.3,↑,0.7,NS,6/9,3,3,1.0
Liver,CD8_T,mito_dysfunction,NL→IT,NL,IT,0.865126,0.903308,4.4,↑,0.041126,*,31/36,6,6,0.2981635
Liver,CD8_T,mito_dysfunction,NL→IA,NL,IA,0.865126,0.880186,1.7,↑,0.428571,NS,20/30,6,5,0.8285705999999999
Liver,CD8_T,mito_dysfunction,NL→AR,NL,AR,0.865126,0.90068,4.1,↑,0.166667,NS,15/18,6,3,0.3717956153846154
Liver,CD8_T,mito_dysfunction,NL→CR,NL,CR,0.865126,0.873414,1.0,↑,0.904762,NS,10/18,6,3,0.904762
Liver,CD8_T,mito_dysfunction,IT→IA,IT,IA,0.903308,0.880186,-2.6,↓,0.662338,NS,18/30,6,5,0.914657238095238
Liver,CD8_T,mito_dysfunction,IA→AR,IA,AR,0.880186,0.90068,2.3,↑,1.0,NS,8/15,5,3,1.0
Liver,CD8_T,mito_dysfunction,CR→AR,CR,AR,0.873414,0.90068,3.1,↑,0.4,NS,7/9,3,3,1.0
Liver,NK,mito_dysfunction,NL→IT,NL,IT,0.877956,0.908338,3.5,↑,0.125541,NS,24/30,6,5,0.7767849375
Liver,NK,mito_dysfunction,NL→IA,NL,IA,0.877956,0.880357,0.3,↑,0.930736,NS,16/30,6,5,0.9996794074074075
Liver,NK,mito_dysfunction,NL→AR,NL,AR,0.877956,0.908035,3.4,↑,0.261905,NS,14/18,6,3,1.0
Liver,NK,mito_dysfunction,NL→CR,NL,CR,0.877956,0.901435,2.7,↑,0.380952,NS,13/18,6,3,0.849816
Liver,NK,mito_dysfunction,IT→IA,IT,IA,0.908338,0.880357,-3.1,↓,0.690476,NS,15/25,5,5,1.0
Liver,NK,mito_dysfunction,IA→AR,IA,AR,0.880357,0.908035,3.1,↑,0.571429,NS,10/15,5,3,0.9494044166666668
Liver,NK,mito_dysfunction,CR→AR,CR,AR,0.901435,0.908035,0.7,↑,1.0,NS,5/9,3,3,1.0
Liver,B,mito_dysfunction,NL→IT,NL,IT,0.930919,0.949837,2.0,↑,0.246753,NS,22/30,6,5,0.9996794074074075
Liver,B,mito_dysfunction,NL→IA,NL,IA,0.930919,0.905769,-2.7,↓,0.662338,NS,18/30,6,5,0.9603900999999999
Liver,B,mito_dysfunction,NL→AR,NL,AR,0.930919,0.942381,1.2,↑,0.714286,NS,11/18,6,3,1.0
Liver,B,mito_dysfunction,NL→CR,NL,CR,0.930919,0.949756,2.0,↑,0.380952,NS,13/18,6,3,0.7365072
Liver,B,mito_dysfunction,IT→IA,IT,IA,0.949837,0.905769,-4.6,↓,0.095238,†,21/25,5,5,0.4373026
Liver,B,mito_dysfunction,IA→AR,IA,AR,0.905769,0.942381,4.0,↑,0.25,NS,12/15,5,3,0.920635611111111
Liver,B,mito_dysfunction,CR→AR,CR,AR,0.949756,0.942381,-0.8,↓,1.0,NS,4/9,3,3,1.0
Liver,PlasmaB,mito_dysfunction,NL→IT,NL,IT,0.905643,0.905007,-0.1,↓,1.0,NS,15/30,6,5,1.0
Liver,PlasmaB,mito_dysfunction,NL→IA,NL,IA,0.905643,0.92444,2.1,↑,0.930736,NS,16/30,6,5,0.930736
Liver,PlasmaB,mito_dysfunction,NL→AR,NL,AR,0.905643,0.934234,3.2,↑,0.642857,NS,8/12,6,2,0.7767855416666667
Liver,PlasmaB,mito_dysfunction,NL→CR,NL,CR,0.905643,0.901367,-0.5,↓,0.904762,NS,10/18,6,3,0.9717814074074074
Liver,PlasmaB,mito_dysfunction,IT→IA,IT,IA,0.905007,0.92444,2.1,↑,0.690476,NS,15/25,5,5,1.0
Liver,PlasmaB,mito_dysfunction,IA→AR,IA,AR,0.92444,0.934234,1.1,↑,0.380952,NS,8/10,5,2,0.849816
Liver,PlasmaB,mito_dysfunction,CR→AR,CR,AR,0.901367,0.934234,3.6,↑,0.2,NS,6/6,3,2,1.0
Liver,Myeloid,naive_t,NL→IT,NL,IT,0.040227,0.074041,84.1,↑,0.177489,NS,23/30,6,5,0.42893175
Liver,Myeloid,naive_t,NL→IA,NL,IA,0.040227,0.037738,-6.2,↓,0.536797,NS,19/30,6,5,0.914657238095238
Liver,Myeloid,naive_t,NL→AR,NL,AR,0.040227,0.029733,-26.1,↓,0.904762,NS,10/18,6,3,0.9717814074074074
Liver,Myeloid,naive_t,NL→CR,NL,CR,0.040227,0.04012,-0.3,↓,1.0,NS,9/18,6,3,1.0
Liver,Myeloid,naive_t,IT→IA,IT,IA,0.074041,0.037738,-49.0,↓,0.222222,NS,19/25,5,5,0.7160486666666667
Liver,Myeloid,naive_t,IA→AR,IA,AR,0.037738,0.029733,-21.2,↓,1.0,NS,7/15,5,3,1.0
